Num,Title,Actors [4],Director,Genre,Year
223,The Martian,"Matt Damon, Jessica Chastain, Kristen Wiig, Jeff Daniels",Ridley Scott,Adventure,2015
224,The Exorcist,"Ellen Burstyn, Max von Sydow, Lee J. Cobb, Kitty Winn",William Friedkin,Horror,1973
225,Rio Bravo,"John Wayne, Dean Martin, Ricky Nelson, Angie Dickinson",Howard Hawks,Action,1959
226,The Philadelphia Story,"Cary Grant, Katharine Hepburn, James Stewart, Ruth Hussey",George Cukor,Comedy,1940
227,Rope,"John Dall, Farley Granger, Edith Evanson, Douglas Dick",Alfred Hitchcock,Crime,1948
228,The Big Sleep,"Humphrey Bogart, Lauren Bacall, John Ridgely, Martha Vickers",Howard Hawks,Crime,1946
229,Pink Floyd: The Wall,"Bob Geldof, Christine Hargreaves, James Laurenson, Eleanor David",Alan Parker,Animation,1982
230,The King's Speech,"Colin Firth, Helena Bonham Carter, Derek Jacobi, Robert Portal",Tom Hooper,Biography,2010
231,A Christmas Story,"Melinda Dillon, Darren McGavin, Peter Billingsley, Scott Schwartz",Bob Clark,Comedy,1983
232,The Graduate,"Anne Bancroft, Dustin Hoffman, Katharine Ross, William Daniels",Mike Nichols,Comedy,1967
233,JFK,"Sally Kirkland, Anthony Ramirez, Ray LePere, Steve Reed",Oliver Stone,Drama,1991
234,Sling Blade,"Billy Bob Thornton, Dwight Yoakam, J.T. Walsh, John Ritter",Billy Bob Thornton,Drama,1996
235,Blood Diamond,"Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly, Kagiso Kuypers",Edward Zwick,Adventure,2006
236,Magnolia,"Pat Healy, Genevieve Zweig, Mark Flanagan, Neil Flynn",Paul Thomas Anderson,Drama,1999
237,Rain Man,"Dustin Hoffman, Tom Cruise, Valeria Golino, Gerald R. Molen",Barry Levinson,Drama,1988
238,The Revenant,"Leonardo DiCaprio, Tom Hardy, Domhnall Gleeson, Will Poulter",Alejandro González Iñárritu,Adventure,2015
239,The Nightmare Before Christmas,"Danny Elfman, Chris Sarandon, Catherine O'Hara, William Hickey",Henry Selick,Animation,1993
240,The Manchurian Candidate,"Frank Sinatra, Laurence Harvey, Janet Leigh, Angela Lansbury",John Frankenheimer,Drama,1962
241,Deadpool,"Ryan Reynolds, Karan Soni, Ed Skrein, Michael Benyaer",Tim Miller,Action,2016
242,The Wild Bunch,"William Holden, Ernest Borgnine, Robert Ryan, Edmond O'Brien",Sam Peckinpah,Action,1969
243,Aladdin,"Scott Weinger, Robin Williams, Linda Larkin, Jonathan Freeman","Ron Clements, John Musker",Animation,1992
244,Big Fish,"Ewan McGregor, Albert Finney, Billy Crudup, Jessica Lange",Tim Burton,Adventure,2003
245,Patton,"George C. Scott, Karl Malden, Stephen Young, Michael Strong",Franklin J. Schaffner,Biography,1970
246,The Lost Weekend,"Ray Milland, Jane Wyman, Phillip Terry, Howard Da Silva",Billy Wilder,Drama,1945
247,Short Term 12,"Brie Larson, John Gallagher Jr., Stephanie Beatriz, Rami Malek",Destin Daniel Cretton,Drama,2013
248,His Girl Friday,"Cary Grant, Rosalind Russell, Ralph Bellamy, Gene Lockhart",Howard Hawks,Comedy,1940
249,The Straight Story,"Sissy Spacek, Jane Galloway Heitz, Joseph A. Carpenter, Donald Wiegert",David Lynch,Biography,1999
250,Slumdog Millionaire,"Dev Patel, Saurabh Shukla, Anil Kapoor, Raj Zutshi","Danny Boyle, Loveleen Tandan",Drama,2008
